3Kvar,End Time,Meter,Start Time,avgAmp,avgKva,avgKvar,avgKw,avgPf,avgTHD,avgVolt,l1Amp,l1Kva,l1Kvar,l1Kw,l1Pf,l1THD,l1Volt,l2Amp,l2Kva,l2Kvar,l2Kw,l2Pf,l2THD,l2Volt,l3Amp,l3Kva,l3Kw,l3Pf,l3THD,l3Volt,peakKva,peakKw
2.31,2025-09-05 00:14:59,Meter BSGN1-APF - CHILLER 1,2025-09-05 00:00:00,73.60,63.55,6.25,61.47,99.90,4.92,289.99,72.24,20.61,1.87,19.87,99.90,4.81,287.96,77.58,22.58,2.07,21.73,99.90,5.47,292.77,70.98,20.35,19.87,99.90,4.49,289.23,65.20,64.40
2.37,2025-09-05 00:29:59,Meter BSGN1-APF - CHILLER 1,2025-09-05 00:15:00,73.07,63.15,6.24,60.93,99.90,5.06,290.21,71.51,20.47,1.75,19.80,99.90,4.99,288.19,77.69,22.60,2.12,21.87,99.90,5.42,293.12,70.01,20.08,19.27,99.90,4.75,289.32,64.60,63.40
2.44,2025-09-05 00:44:59,Meter BSGN1-APF - CHILLER 1,2025-09-05 00:30:00,71.57,61.91,6.24,59.40,99.90,5.00,290.39,69.47,19.89,1.79,19.01,99.90,5.08,288.23,75.68,22.04,2.01,21.16,99.90,5.44,293.30,69.56,19.97,19.23,99.90,4.50,289.64,63.50,61.40
2.40,2025-09-05 00:59:59,Meter BSGN1-APF - CHILLER 1,2025-09-05 00:45:00,74.33,64.34,6.28,62.13,99.90,4.91,290.63,72.10,20.64,1.79,19.93,99.90,4.95,288.57,77.98,22.73,2.09,21.87,99.90,5.44,293.49,72.91,20.97,20.33,99.90,4.34,289.83,67.00,64.40
2.29,2025-09-05 01:14:59,Meter BSGN1-APF - CHILLER 1,2025-09-05 01:00:00,70.25,60.90,6.14,58.76,99.90,5.29,290.81,68.11,19.53,1.81,18.80,99.90,5.21,288.72,74.33,21.69,2.03,21.01,99.90,5.81,293.54,68.31,19.69,18.94,99.90,4.85,290.17,65.20,63.40
2.43,2025-09-05 01:29:59,Meter BSGN1-APF - CHILLER 1,2025-09-05 01:15:00,74.68,64.69,6.44,62.80,99.90,4.89,290.88,72.41,20.74,1.93,20.27,99.90,4.79,288.79,78.19,22.77,2.08,22.13,99.90,5.43,293.57,73.43,21.18,20.40,99.90,4.44,290.27,66.10,64.40
2.28,2025-09-05 01:44:59,Meter BSGN1-APF - CHILLER 1,2025-09-05 01:30:00,70.32,60.67,6.12,58.61,99.90,5.07,289.61,67.46,19.27,1.77,18.59,99.90,5.14,287.67,74.00,21.47,2.07,20.73,99.90,5.58,292.15,69.51,19.93,19.30,99.90,4.48,289.02,63.80,62.40
2.46,2025-09-05 01:59:59,Meter BSGN1-APF - CHILLER 1,2025-09-05 01:45:00,76.40,65.47,6.49,63.19,99.90,4.77,287.60,74.42,21.11,1.89,20.30,99.90,4.80,285.64,80.44,23.19,2.15,22.51,99.90,5.29,290.31,74.33,21.18,20.37,99.90,4.23,286.84,66.60,64.40
2.19,2025-09-05 02:14:59,Meter BSGN1-APF - CHILLER 1,2025-09-05 02:00:00,68.57,58.75,6.01,56.67,99.90,5.15,287.81,66.72,18.93,1.78,18.20,99.90,5.10,285.87,71.95,20.73,2.04,20.07,99.90,5.51,290.39,67.03,19.09,18.40,99.90,4.83,287.16,65.80,63.40
2.48,2025-09-05 02:29:59,Meter BSGN1-APF - CHILLER 1,2025-09-05 02:15:00,75.61,64.83,6.51,62.73,99.90,4.95,287.79,74.00,21.01,1.85,20.27,99.90,4.90,285.91,78.96,22.79,2.18,22.07,99.90,5.39,290.51,73.86,21.04,20.40,99.90,4.56,286.96,69.60,67.40
