End Time,Meter,Start Time,avgAmp,avgPf,avgTHD,avgVolt,l1Amp,l1Kva,l1Kvar,l1Kw,l1Pf,l1THD,l1Volt,l2Amp,l2Kva,l2Kvar,l2Kw,l2Pf,l2THD,l2Volt,l3Amp,l3Kva,l3Kvar,l3Kw,l3Pf,l3THD,l3Volt,outputAmp,totalKva,totalKvar,totalKw
2025-11-17 00:20:59,PQM,2025-11-17 00:20:00,1335.59,8.83,129.43,282.27,1407.30,397.23,3.68,395.43,99.55,8.93,279.32,1264.76,343.85,52.53,337.56,98.17,9.78,267.80,1334.70,403.13,73.22,395.52,98.11,7.79,299.69,1128.51,98.61,,1144.20
2025-11-17 00:21:59,PQM,2025-11-17 00:21:00,1338.59,8.82,124.08,282.29,1409.97,392.81,3.22,391.09,99.56,8.91,279.23,1273.90,341.21,50.00,335.53,98.33,9.69,267.88,1331.91,397.78,70.86,390.32,98.13,7.85,299.75,1116.95,98.67,,1131.81
2025-11-17 00:22:59,PQM,2025-11-17 00:22:00,1362.40,8.73,136.87,282.14,1430.28,399.52,6.41,397.50,99.50,8.88,279.20,1297.56,347.97,55.31,341.40,98.11,9.67,267.77,1359.38,406.02,75.16,397.52,97.91,7.65,299.44,1136.42,98.50,,1153.51
2025-11-17 00:23:59,PQM,2025-11-17 00:23:00,1400.01,8.72,148.23,282.18,1470.71,404.45,9.21,402.21,99.45,8.91,279.16,1336.68,352.91,59.52,345.37,97.86,9.74,267.85,1392.64,413.06,79.49,403.32,97.64,7.52,299.54,1150.90,98.32,,1170.42
2025-11-17 00:24:59,PQM,2025-11-17 00:24:00,1328.43,9.03,114.18,282.31,1401.95,386.15,0.04,384.75,99.64,9.21,279.29,1265.53,335.44,46.34,330.51,98.53,9.90,268.09,1317.80,388.85,67.80,382.26,98.31,7.99,299.55,1097.53,98.82,,1110.44
2025-11-17 00:25:59,PQM,2025-11-17 00:25:00,1352.35,8.76,134.13,282.36,1426.74,401.15,5.22,399.37,99.56,8.85,279.46,1284.02,347.71,53.57,341.28,98.15,9.70,267.96,1346.29,405.32,75.34,397.32,98.03,7.72,299.66,1137.97,98.58,,1154.19
2025-11-17 00:26:59,PQM,2025-11-17 00:26:00,1375.68,8.68,138.30,282.31,1444.52,403.96,6.70,401.86,99.48,8.77,279.29,1316.31,349.63,54.22,343.96,98.38,9.69,267.90,1366.20,408.31,77.38,399.65,97.88,7.59,299.73,1145.47,98.58,,1161.90
2025-11-17 00:27:59,PQM,2025-11-17 00:27:00,1388.12,8.78,138.03,282.19,1450.56,400.86,6.98,398.79,99.48,8.91,279.25,1334.32,348.02,54.97,341.78,98.21,9.76,267.77,1379.48,406.31,76.09,397.10,97.73,7.67,299.56,1137.67,98.48,,1155.18
2025-11-17 00:28:59,PQM,2025-11-17 00:28:00,1353.91,8.80,129.04,282.40,1426.11,394.83,3.17,392.94,99.52,8.88,279.52,1282.39,340.59,51.76,334.75,98.29,9.75,267.95,1353.25,399.59,74.11,392.01,98.10,7.77,299.72,1119.70,98.64,,1135.00
2025-11-17 00:29:59,PQM,2025-11-17 00:29:00,1301.98,9.09,119.00,282.60,1381.94,384.32,2.85,382.28,99.47,9.16,279.62,1240.24,332.87,47.24,327.25,98.31,9.97,268.20,1283.77,385.70,68.91,378.19,98.05,8.14,299.98,1087.72,98.61,,1102.90
2025-11-17 00:30:59,PQM,2025-11-17 00:30:00,1344.72,8.86,122.68,282.41,1419.57,389.38,3.22,387.97,99.64,8.96,279.42,1280.59,338.40,49.26,333.06,98.42,9.72,268.11,1334.01,392.46,70.20,385.01,98.10,7.89,299.71,1106.04,98.72,,1120.23
