3Kvar,End Time,Meter,Start Time,avgAmp,avgKva,avgKvar,avgKw,avgPf,avgTHD,avgVolt,l1Amp,l1Kva,l1Kvar,l1Kw,l1Pf,l1THD,l1Volt,l2Amp,l2Kva,l2Kvar,l2Kw,l2Pf,l2THD,l2Volt,l3Amp,l3Kva,l3Kw,l3Pf,l3THD,l3Volt,peakKva,peakKw
6.33,10/14/2025 10:14,Meter BSGN1-APF - CHILLER 1,10/14/2025 10:00,96.03,82.07,13.77,79.87,96.07,8.79,286.16,93.77,26.55,3.4,25.85,99.67,8.49,284.27,99.36,28.53,4.03,27.76,92.94,9.28,288.55,94.97,26.99,26.26,95.59,8.59,285.65,123.1,120.8
2.14,10/14/2025 10:29,Meter BSGN1-APF - CHILLER 1,10/14/2025 10:15,66.87,56.95,5.55,55.05,99.9,5.45,286.23,64.06,18.05,1.71,17.48,99.9,5.54,284.38,70.54,20.2,1.71,19.46,99.9,5.96,288.49,66,18.7,18.11,99.9,4.86,285.81,98.6,96.1
12.81,10/14/2025 10:44,Meter BSGN1-APF - CHILLER 1,10/14/2025 10:30,141.83,122.53,28.63,119.89,99.69,5.52,289.12,139.11,39.75,7.34,38.93,99.81,5,286.93,146.89,42.65,8.47,41.76,99.77,5.6,291.59,139.49,40.13,39.19,99.5,5.97,288.85,141.6,138.5
13.49,10/14/2025 10:59,Meter BSGN1-APF - CHILLER 1,10/14/2025 10:45,151.3,130.41,30.39,127.73,99.7,5.56,288.55,149.15,42.59,7.79,41.73,99.81,4.79,286.63,155.69,45.13,9.11,44.22,99.77,5.54,290.97,149.05,42.69,41.79,99.52,6.37,288.03,139,135.6
7.98,10/14/2025 11:14,Meter BSGN1-APF - CHILLER 1,10/14/2025 11:00,136.01,117.02,16.56,114.4,99.84,4.45,288.21,134.1,38.18,3.72,37.33,99.9,4.13,286.31,140.5,40.64,4.86,39.8,99.87,4.61,290.73,133.43,38.2,37.27,99.76,4.6,287.58,124.1,121.8
10.85,10/14/2025 11:29,Meter BSGN1-APF - CHILLER 1,10/14/2025 11:15,143.43,123.19,23.25,120.79,99.78,4.98,287.67,141.25,40.14,5.47,39.4,99.87,4.4,285.58,147.66,42.65,6.93,41.73,99.83,5.07,290.19,141.37,40.41,39.67,99.64,5.47,287.23,129.8,127.7
9.4,10/14/2025 11:44,Meter BSGN1-APF - CHILLER 1,10/14/2025 11:30,139.97,120.26,19.21,117.66,99.83,4.52,287.66,138.11,39.26,4.24,38.39,99.9,3.96,285.65,144.05,41.62,5.57,40.81,99.88,4.73,290.19,137.74,39.38,38.46,99.72,4.88,287.15,128,125.8
9.65,10/14/2025 11:59,Meter BSGN1-APF - CHILLER 1,10/14/2025 11:45,140.14,120.11,20.19,117.4,99.82,4.64,287.12,138.67,39.36,4.42,38.47,99.89,4.03,285.11,144.59,41.63,6.12,40.67,99.86,4.68,289.62,137.15,39.11,38.27,99.7,5.21,286.63,125.7,122.8
11.95,10/14/2025 12:14,Meter BSGN1-APF - CHILLER 1,10/14/2025 12:00,147.5,126.55,25.79,123.87,99.76,5.09,287.45,145.79,41.33,5.68,40.47,99.88,4.21,285.22,152,43.89,8.15,43,99.8,5.27,290.15,144.71,41.34,40.4,99.59,5.8,286.99,128,125.8
7.14,10/14/2025 12:29,Meter BSGN1-APF - CHILLER 1,10/14/2025 12:15,134.96,115.84,15.16,113.25,99.86,4.27,287.46,133.06,37.81,3.77,36.9,99.9,4.09,285.3,138.98,40.04,4.25,39.17,99.89,4.44,289.89,132.83,37.99,37.18,99.79,4.29,287.21,124.5,120.8
15.57,10/14/2025 12:44,Meter BSGN1-APF - CHILLER 1,10/14/2025 12:30,155.57,133.25,35.16,130.49,99.64,5.95,286.92,154.29,43.72,8.59,42.78,99.79,5.07,284.84,159.81,46.03,11,45.06,99.71,5.97,289.51,152.61,43.51,42.65,99.41,6.81,286.39,141.4,137.5
15.14,10/14/2025 12:59,Meter BSGN1-APF - CHILLER 1,10/14/2025 12:45,155.35,133.18,34.1,130.26,99.66,5.81,286.99,153.24,43.47,8.09,42.51,99.81,4.79,284.94,160.14,46.16,10.87,45.09,99.71,5.93,289.6,152.69,43.55,42.65,99.44,6.73,286.44,144.2,140.5
13.5,10/14/2025 13:14,Meter BSGN1-APF - CHILLER 1,10/14/2025 13:00,152.88,131.53,30.29,128.84,99.7,5.49,287.99,151.64,43.18,7,42.38,99.83,4.59,285.95,157.89,45.69,9.79,44.8,99.73,5.6,290.64,149.11,42.67,41.66,99.53,6.29,287.39,140.4,137.6
12.47,10/14/2025 13:29,Meter BSGN1-APF - CHILLER 1,10/14/2025 13:15,150.38,129.19,27.9,126.46,99.74,5.24,287.61,149.4,42.53,6.33,41.65,99.86,4.37,285.73,154.42,44.6,9.09,43.56,99.77,5.4,290.2,147.32,42.06,41.25,99.57,5.94,286.91,139.8,137.5
12.79,10/14/2025 13:44,Meter BSGN1-APF - CHILLER 1,10/14/2025 13:30,151.2,129.78,28.95,127.28,99.72,5.37,287.22,150.23,42.7,6.37,41.87,99.85,4.39,285.21,156,45.03,9.79,44.15,99.74,5.58,289.91,147.38,42.05,41.27,99.57,6.15,286.55,135.2,132.7
12.18,10/14/2025 13:59,Meter BSGN1-APF - CHILLER 1,10/14/2025 13:45,150.54,129.07,29.2,126.41,99.71,5.42,286.91,150.1,42.55,7.21,41.69,99.82,4.63,284.89,154.68,44.66,9.81,43.67,99.73,5.72,289.66,146.85,41.86,41.05,99.57,5.9,286.18,140.8,138.5
10.74,10/14/2025 14:14,Meter BSGN1-APF - CHILLER 1,10/14/2025 14:00,146,124.94,24.3,122.44,99.77,4.94,286.7,145.8,41.29,5.17,40.53,99.88,4.13,284.73,150.55,43.33,8.39,42.51,99.78,5.33,289.32,141.64,40.33,39.4,99.66,5.37,286.03,136.4,133.6
15.41,10/14/2025 14:29,Meter BSGN1-APF - CHILLER 1,10/14/2025 14:15,157.92,134.98,36.72,132.01,99.62,6.05,286.24,157.17,44.5,8.67,43.57,99.8,4.97,284.27,162.9,46.83,12.63,45.78,99.64,6.31,288.97,153.68,43.65,42.67,99.43,6.88,285.48,138.2,135.6
8,10/14/2025 14:44,Meter BSGN1-APF - CHILLER 1,10/14/2025 14:30,138.08,117.91,17.69,115.15,99.84,4.48,286.26,137.69,38.88,3.77,37.93,99.9,4.03,284.14,142.79,41.03,5.92,40,99.85,4.77,289.09,133.75,38.01,37.22,99.78,4.63,285.54,123.9,120.8
14.54,10/14/2025 14:59,Meter BSGN1-APF - CHILLER 1,10/14/2025 14:45,156.82,133.95,35.41,131.21,99.65,5.87,285.94,156.51,44.28,8.13,43.31,99.81,4.71,284.01,161.53,46.46,12.73,45.51,99.65,6.29,288.89,152.41,43.21,42.39,99.49,6.6,284.91,139,136.5
10.25,10/14/2025 15:14,Meter BSGN1-APF - CHILLER 1,10/14/2025 15:00,143.97,122.82,22.53,120.25,99.79,4.85,285.71,143.45,40.47,4.49,39.73,99.89,3.9,283.5,149.33,42.91,7.79,41.98,99.81,5.23,288.71,139.13,39.45,38.53,99.67,5.43,284.93,135.3,132.7
13.39,10/14/2025 15:29,Meter BSGN1-APF - CHILLER 1,10/14/2025 15:15,152.97,130.5,31.39,127.66,99.69,5.56,285.63,152.91,43.17,6.69,42.31,99.84,4.34,283.58,157.98,45.36,11.31,44.26,99.69,6.07,288.54,148.04,41.97,41.1,99.53,6.26,284.77,136.4,133.6
13.63,10/14/2025 15:44,Meter BSGN1-APF - CHILLER 1,10/14/2025 15:30,152.9,130.36,32.05,127.59,99.67,5.72,285.43,152.32,42.98,7.1,42.13,99.83,4.63,283.39,158.11,45.35,11.32,44.33,99.69,6,288.33,148.27,42.03,41.13,99.49,6.52,284.59,136.7,132.7
8.62,10/14/2025 15:59,Meter BSGN1-APF - CHILLER 1,10/14/2025 15:45,140.34,119.44,19.6,116.81,99.83,4.62,285.12,140.65,39.59,3.96,38.74,99.9,3.93,282.99,144.97,41.56,7.01,40.6,99.83,5.04,287.94,135.41,38.29,37.47,99.75,4.88,284.44,127.2,123.8
14.79,10/14/2025 16:14,Meter BSGN1-APF - CHILLER 1,10/14/2025 16:00,156.48,133.27,35.28,130.49,99.64,6.01,285.06,156.2,44.03,7.79,43.12,99.81,4.72,282.97,161.7,46.37,12.71,45.37,99.63,6.41,287.95,151.53,42.86,42,99.46,6.91,284.27,136.4,133.6
8.59,10/14/2025 16:29,Meter BSGN1-APF - CHILLER 1,10/14/2025 16:15,139.37,118.7,19.84,116.04,99.82,4.66,285.14,139.74,39.4,3.78,38.62,99.9,3.95,283.15,144.51,41.42,7.47,40.46,99.81,5.09,288.09,133.85,37.88,36.96,99.74,4.94,284.17,130.7,127.7
15.31,10/14/2025 16:44,Meter BSGN1-APF - CHILLER 1,10/14/2025 16:30,156.22,133.03,35.75,130.02,99.62,6.16,285.12,156.17,43.99,7.6,43.04,99.82,4.78,282.91,161.8,46.39,12.83,45.32,99.63,6.45,288.19,150.68,42.65,41.66,99.41,7.25,284.25,140.5,137.5
10.58,10/14/2025 16:59,Meter BSGN1-APF - CHILLER 1,10/14/2025 16:45,143.54,122.18,24.24,119.37,99.76,5.08,284.97,143.69,40.45,5.01,39.47,99.87,4.21,282.65,149.23,42.8,8.65,41.91,99.77,5.37,288.09,137.69,38.93,38,99.64,5.66,284.17,135,132.7
11.76,10/14/2025 17:14,Meter BSGN1-APF - CHILLER 1,10/14/2025 17:00,145.77,124.16,26.07,121.56,99.74,5.4,285.25,145.36,40.94,5.03,40.13,99.89,4.21,282.83,151.79,43.57,9.28,42.69,99.75,5.63,288.4,140.17,39.65,38.73,99.57,6.35,284.52,132.4,129.7
13.56,10/14/2025 17:29,Meter BSGN1-APF - CHILLER 1,10/14/2025 17:15,150.67,128.49,30.95,125.86,99.68,5.77,285.62,149.74,42.25,6.31,41.39,99.85,4.55,283.4,156.79,45.02,11.07,44.08,99.69,6.04,288.63,145.48,41.22,40.39,99.5,6.71,284.85,138.9,135.6
9.73,10/14/2025 17:44,Meter BSGN1-APF - CHILLER 1,10/14/2025 17:30,139.37,118.98,20.51,116.26,99.8,4.95,286.03,138.91,39.19,3.75,38.2,99.9,4.13,283.71,145.49,41.84,7.02,40.99,99.83,5.13,289.11,133.72,37.95,37.07,99.68,5.58,285.26,131.9,128.7
14.5,10/14/2025 17:59,Meter BSGN1-APF - CHILLER 1,10/14/2025 17:45,154.1,131.81,34.33,129.09,99.64,6.17,286.53,154.22,43.58,7.37,42.71,99.82,4.81,284.18,159.55,45.97,12.47,44.99,99.63,6.75,289.71,148.53,42.26,41.4,99.46,6.95,285.7,139.9,137.6
8.4,10/14/2025 18:14,Meter BSGN1-APF - CHILLER 1,10/14/2025 18:00,136.93,116.93,18.83,114.64,99.82,4.71,285.96,137.1,38.68,3.88,37.94,99.9,4.11,283.55,142.42,40.99,6.55,40.27,99.83,5.05,289.13,131.28,37.26,36.43,99.73,4.97,285.2,128.5,125.8
15.17,10/14/2025 18:29,Meter BSGN1-APF - CHILLER 1,10/14/2025 18:15,156.04,133.67,35.78,130.94,99.63,6.28,286.64,154.83,43.86,8,43.03,99.81,4.92,284.46,162.06,46.76,12.61,45.72,99.64,6.71,289.66,151.22,43.05,42.19,99.43,7.21,285.81,140.6,137.5
6.61,10/14/2025 18:44,Meter BSGN1-APF - CHILLER 1,10/14/2025 18:30,133.69,114.84,15.3,112.31,99.87,4.34,287.57,134.2,38.13,3.34,37.33,99.9,4.01,285.35,138.75,40.17,5.35,39.33,99.87,4.68,290.72,128.12,36.54,35.64,99.83,4.33,286.63,122,119.8
13.2,10/14/2025 18:59,Meter BSGN1-APF - CHILLER 1,10/14/2025 18:45,151.93,130.79,30.76,127.97,99.69,5.66,288.22,151.64,43.19,6.53,42.32,99.85,4.43,286.14,157.45,45.65,11.03,44.66,99.69,6.04,291.17,146.71,41.94,40.99,99.53,6.51,287.35,137.9,134.6
8.29,10/14/2025 19:14,Meter BSGN1-APF - CHILLER 1,10/14/2025 19:00,137.85,118.86,19.25,116.21,99.81,4.74,288.79,138.05,39.32,4.24,38.47,99.88,4.23,286.45,143.32,41.69,6.71,40.71,99.83,5.08,292.09,132.17,37.85,37.04,99.72,4.93,287.83,134.1,131.7
12.28,10/14/2025 19:29,Meter BSGN1-APF - CHILLER 1,10/14/2025 19:15,149.51,129.06,28.25,126.27,99.72,5.35,288.99,149.35,42.66,5.82,41.71,99.86,4.33,286.86,154.93,45.07,10.15,44.08,99.73,5.73,292.05,144.25,41.33,40.47,99.57,5.99,288.07,138.9,135.6
8.63,10/14/2025 19:44,Meter BSGN1-APF - CHILLER 1,10/14/2025 19:30,140.51,121.44,19.89,118.87,99.82,4.79,289.44,140.95,40.27,3.9,39.47,99.9,4.07,287.26,145.42,42.33,7.36,41.51,99.81,5.35,292.54,135.15,38.83,37.89,99.74,4.95,288.52,130,126.7
7.45,10/14/2025 19:59,Meter BSGN1-APF - CHILLER 1,10/14/2025 19:45,138.38,119.83,17.86,117.34,99.84,4.51,290.03,139.09,39.87,4.07,39.07,99.9,4.1,288.09,142.55,41.55,6.34,40.71,99.84,4.97,292.87,133.48,38.41,37.56,99.79,4.45,289.12,131.8,128.7
12.27,10/14/2025 20:14,Meter BSGN1-APF - CHILLER 1,10/14/2025 20:00,149.71,129.12,28.76,126.53,99.71,5.53,288.76,149.95,42.79,5.92,41.93,99.86,4.35,286.75,154.71,44.97,10.57,44,99.7,6.13,291.79,144.47,41.36,40.6,99.58,6.12,287.75,134.6,131.7
6.31,10/14/2025 20:29,Meter BSGN1-APF - CHILLER 1,10/14/2025 20:15,132.64,114.11,14.47,111.43,99.87,4.27,288.28,132.51,37.74,3.31,36.76,99.9,3.96,286.33,136.86,39.64,4.85,38.81,99.89,4.7,291.21,128.54,36.74,35.85,99.82,4.16,287.31,123.5,120.8
