End Time,Meter,Start Time,avgAmp,avgPf,avgTHD,avgVolt,l1Amp,l1Kva,l1Kvar,l1Kw,l1Pf,l1THD,l1Volt,l2Amp,l2Kva,l2Kvar,l2Kw,l2Pf,l2THD,l2Volt,l3Amp,l3Kva,l3Kvar,l3Kw,l3Pf,l3THD,l3Volt,totalKva,totalKvar,totalKw
2026-01-11 00:00:59,XPQ-01 Main,2026-01-11 00:00:00,100.85,83.10,0.00,489.34,91.69,25.78,-16.21,17.87,74.06,0.00,490.58,116.65,33.24,-17.80,26.06,82.57,0.00,488.56,94.22,26.52,-9.32,22.97,92.67,0.00,488.90,85.54,-43.33,66.90
2026-01-11 00:01:59,XPQ-01 Main,2026-01-11 00:01:00,82.83,87.32,0.00,489.03,80.68,22.68,-13.73,15.30,74.43,0.00,490.31,98.77,28.12,-9.06,22.33,92.66,0.00,488.13,69.05,19.42,-4.85,14.54,94.86,0.00,488.67,70.22,-27.64,52.17
2026-01-11 00:02:59,XPQ-01 Main,2026-01-11 00:02:00,91.00,87.41,0.00,489.19,86.20,24.25,-14.01,17.23,77.58,0.00,490.40,106.39,30.29,-12.45,24.78,89.36,0.00,488.09,80.40,22.62,-6.14,19.29,95.29,0.00,489.09,77.16,-32.60,61.30
2026-01-11 00:03:59,XPQ-01 Main,2026-01-11 00:03:00,97.99,84.29,0.00,489.67,90.53,25.49,-15.84,17.16,73.47,0.00,490.98,117.11,33.38,-14.77,25.16,86.24,0.00,488.54,86.34,24.31,-7.77,19.92,93.16,0.00,489.48,83.18,-38.38,62.25
2026-01-11 00:04:59,XPQ-01 Main,2026-01-11 00:04:00,102.31,84.66,0.00,490.20,94.86,26.71,-16.45,18.64,74.97,0.00,491.19,117.83,33.63,-16.58,27.17,85.36,0.00,489.58,94.24,26.58,-8.47,22.61,93.64,0.00,489.84,86.92,-41.51,68.42
2026-01-11 00:05:59,XPQ-01 Main,2026-01-11 00:05:00,84.71,84.46,0.00,490.15,81.94,23.08,-14.69,15.42,72.40,0.00,491.46,98.03,27.98,-12.13,22.67,88.17,0.00,489.27,74.16,20.90,-6.64,16.56,92.81,0.00,489.73,71.97,-33.47,54.65
2026-01-11 00:06:59,XPQ-01 Main,2026-01-11 00:06:00,98.62,88.17,0.00,490.04,89.02,25.06,-13.31,18.63,81.37,0.00,491.13,110.95,31.66,-14.28,25.88,87.55,0.00,489.39,95.90,27.04,-6.97,22.68,95.58,0.00,489.60,83.76,-34.57,67.20
2026-01-11 00:07:59,XPQ-01 Main,2026-01-11 00:07:00,103.32,88.68,0.00,489.97,96.43,27.14,-14.44,20.99,82.39,0.00,490.96,115.74,33.02,-14.42,27.75,88.73,0.00,489.39,97.81,27.58,-7.93,23.92,94.92,0.00,489.58,87.73,-36.79,72.66
2026-01-11 00:08:59,XPQ-01 Main,2026-01-11 00:08:00,106.61,83.14,0.00,490.84,99.70,28.12,-17.51,19.50,74.40,0.00,492.10,122.88,35.13,-17.88,27.25,83.60,0.00,490.03,97.25,27.45,-10.34,23.33,91.42,0.00,490.38,90.70,-45.73,70.07
2026-01-11 00:09:59,XPQ-01 Main,2026-01-11 00:09:00,73.20,84.37,0.00,490.63,70.88,19.99,-12.16,13.41,74.07,0.00,491.56,83.07,23.71,-10.42,18.73,87.39,0.00,489.69,65.63,18.53,-6.24,14.31,91.66,0.00,490.65,62.24,-28.83,46.46
2026-01-11 00:10:59,XPQ-01 Main,2026-01-11 00:10:00,72.85,86.79,0.00,490.11,67.27,18.95,-11.19,13.16,76.19,0.00,491.23,84.66,24.15,-8.92,18.58,90.15,0.00,489.14,66.62,18.78,-4.95,13.68,94.03,0.00,489.97,61.89,-25.07,45.42
2026-01-11 00:11:59,XPQ-01 Main,2026-01-11 00:11:00,83.28,83.39,0.00,490.44,83.22,23.46,-15.69,15.16,69.49,0.00,491.56,98.06,27.99,-12.60,23.29,87.95,0.00,489.50,68.56,19.34,-6.58,16.29,92.72,0.00,490.28,70.80,-34.87,54.74
2026-01-11 00:12:59,XPQ-01 Main,2026-01-11 00:12:00,89.82,83.06,0.00,490.24,79.72,22.46,-13.93,15.32,73.98,0.00,491.16,105.32,30.04,-14.55,21.87,83.26,0.00,489.34,84.43,23.82,-8.05,18.82,91.94,0.00,490.22,76.32,-36.53,56.01
2026-01-11 00:13:59,XPQ-01 Main,2026-01-11 00:13:00,83.93,87.12,0.00,489.61,77.89,21.92,-12.08,15.29,78.47,0.00,490.71,97.09,27.67,-11.37,21.39,88.30,0.00,488.68,76.82,21.64,-5.97,17.42,94.60,0.00,489.45,71.22,-29.42,54.10
2026-01-11 00:14:59,XPQ-01 Main,2026-01-11 00:14:00,84.63,83.53,0.00,489.83,80.32,22.61,-14.79,14.76,70.63,0.00,491.01,99.77,28.45,-12.70,22.46,87.04,0.00,488.94,73.78,20.79,-6.58,16.54,92.92,0.00,489.54,71.85,-34.07,53.75
2026-01-11 00:15:59,XPQ-01 Main,2026-01-11 00:15:00,92.08,84.29,0.00,490.45,84.73,23.89,-13.82,15.91,75.51,0.00,491.59,106.77,30.48,-15.01,23.09,83.84,0.00,489.47,84.74,23.91,-7.66,20.23,93.52,0.00,490.28,78.27,-36.49,59.23
2026-01-11 00:16:59,XPQ-01 Main,2026-01-11 00:16:00,93.58,84.19,0.00,490.47,83.00,23.40,-13.63,15.77,75.67,0.00,491.32,109.51,31.25,-14.63,22.52,83.86,0.00,489.58,88.22,24.90,-7.76,19.69,93.03,0.00,490.49,79.55,-36.02,57.99
2026-01-11 00:17:59,XPQ-01 Main,2026-01-11 00:17:00,94.23,82.01,0.00,490.25,81.76,23.03,-14.37,15.52,73.37,0.00,491.41,106.30,30.35,-15.87,22.17,81.31,0.00,489.49,94.64,26.69,-8.84,19.86,91.35,0.00,489.84,80.06,-39.08,57.54
2026-01-11 00:18:59,XPQ-01 Main,2026-01-11 00:18:00,92.56,80.91,0.00,490.51,83.87,23.62,-14.83,15.13,71.41,0.00,491.46,108.49,30.99,-16.32,22.11,80.45,0.00,490.03,85.33,24.08,-9.01,19.62,90.88,0.00,490.04,78.70,-40.16,56.85
2026-01-11 00:19:59,XPQ-01 Main,2026-01-11 00:19:00,90.62,81.53,0.00,490.10,81.30,22.89,-14.39,15.23,72.68,0.00,490.75,105.12,29.98,-15.76,21.77,81.00,0.00,489.51,85.44,24.11,-8.89,19.41,90.92,0.00,490.04,76.98,-39.04,56.40
2026-01-11 00:20:59,XPQ-01 Main,2026-01-11 00:20:00,88.74,83.17,0.00,490.26,79.40,22.36,-13.28,15.52,75.99,0.00,491.00,100.28,28.62,-15.05,21.40,81.80,0.00,489.76,86.54,24.43,-8.56,19.69,91.71,0.00,490.02,75.40,-36.89,56.62
2026-01-11 00:21:59,XPQ-01 Main,2026-01-11 00:21:00,81.94,84.53,0.00,490.24,75.62,21.30,-11.19,14.03,78.17,0.00,490.93,92.88,26.50,-12.94,19.12,82.81,0.00,489.58,77.31,21.82,-7.26,17.80,92.60,0.00,490.21,69.61,-31.39,50.95
2026-01-11 00:22:59,XPQ-01 Main,2026-01-11 00:22:00,100.19,85.02,0.00,490.62,85.94,24.22,-13.06,18.03,81.00,0.00,491.39,112.36,32.08,-17.61,24.11,80.75,0.00,489.94,102.26,28.88,-9.48,24.62,93.32,0.00,490.54,85.18,-40.15,66.76
